Price,Bedrooms,Bathrooms,City,Location
"155,000",4.0,4.0,Nairobi,General Mathenge
"100,000",3.0,4.0,Nairobi,Kilimani
"75,000",3.0,5.0,Nairobi, Lavington
"135,000",3.0,4.0,Nairobi,Kilimani
"50,000",3.0,,Nairobi,Imara Daima
"150,000",2.0,,Nairobi,Waiyaki Way
"100,000",2.0,3.0,Nairobi, Kilimani
"100,000",3.0,3.0,Nairobi,Westlands Area
"85,000",4.0,,Nairobi,Thika Road
"65,000",2.0,2.0,Nairobi,Kilimani
"95,000",2.0,2.0,Nairobi, Rhapta Road
"75,000",3.0,3.0,Nairobi,Thindigua
"65,000",3.0,2.0,Nairobi,Kileleshwa
"85,000",1.0,1.0,Nairobi,Riverside
"220,000",3.0,3.0,Nairobi, Riverside
"120,000",3.0,3.0,Nairobi,Parklands
"50,000",0.0,1.0,Nairobi,Waiyaki Way
"85,000",2.0,2.0,Nairobi, Lavington
"12,000",1.0,1.0,Nairobi, Nyali Area
"13,000",0.0,,Nairobi, Waiyaki Way
"13,000",2.0,1.0,Nairobi, Ruaka
"13,000",0.0,1.0,Nairobi,Ruaka
"13,000",1.0,1.0,Nairobi, Bamburi
"14,000",2.0,1.0,Nairobi, Ruaka
"15,000",2.0,1.0,Nairobi,Ruaka
"15,000",1.0,1.0,Nairobi, Uthiru/Ruthimitu
"15,000",0.0,1.0,Nairobi,Kiambu Road
"15,000",2.0,1.0,Nairobi, Zimmermann
"16,000",2.0,2.0,Nairobi, Ruaka
"16,000",1.0,1.0,Nairobi,Kasarani Area
"16,000",2.0,1.0,Nairobi, Uthiru/Ruthimitu
"16,000",1.0,1.0,Nairobi,Ngong
"16,000",1.0,1.0,Nairobi, Ruaka
"98,000",3.0,3.0,Nairobi, Kilimani
"200,000",3.0,3.0,Nairobi,General Mathenge
"16,000",1.0,1.0,Nairobi, Kasarani Area
"16,000",1.0,,Nairobi,Ruaka
"17,000",1.0,,Nairobi,Athi River Area
"17,000",1.0,1.0,Nairobi,Sub zone
"17,000",2.0,2.0,Nairobi, Ruaka
"17,000",2.0,2.0,Nairobi,Ruaka
"17,000",2.0,,Nairobi, Ngong
"17,500",1.0,,Nairobi,Imara Daima
"18,000",2.0,2.0,Nairobi, Ruaka
"18,000",1.0,1.0,Nairobi, Nyali Area
"18,000",1.0,1.0,Nairobi, Kikuyu Town
"19,000",1.0,1.0,Nairobi, Nyali Area
"20,000",1.0,,Nairobi, Kitisuru
"20,000",1.0,1.0,Nairobi, Riruta
"20,000",2.0,,Nairobi, Kasarani Area
"70,000",2.0,2.0,Nairobi,Kilimani
"75,000",2.0,2.0,Nairobi, Kilimani
"20,000",1.0,1.0,Nairobi, Ruaka
"20,000",2.0,2.0,Nairobi, Ruiru
"20,000",1.0,1.0,Nairobi,Ruaka
"20,000",1.0,1.0,Nairobi, Nyali Area
"20,000",2.0,2.0,Nairobi, Ruaka
"20,000",1.0,1.0,Nairobi, Nyali Area
"20,000",1.0,1.0,Nairobi, Ruaka
"20,000",2.0,,Nairobi,Ongata Rongai
"20,000",2.0,2.0,Nairobi,Kisumu Central Area
"22,000",2.0,2.0,Nairobi,Kikuyu Town
"22,000",2.0,1.0,Nairobi, Kabete Area
"22,000",2.0,1.0,Nairobi,Ngong
"280,000",3.0,,Nairobi,Riverside
"18,000",1.0,1.0,Nairobi, Kikuyu Town
"23,000",1.0,1.0,Nairobi, Ruaka
"23,000",2.0,2.0,Nairobi,Kisumu Central Area
"24,000",2.0,2.0,Nairobi,Utawala
"24,000",,,Nairobi,Nairobi West
"24,000",2.0,2.0,Nairobi, Frere Town
"25,000",3.0,2.0,Nairobi, Thika
"25,000",2.0,,Nairobi, Ruaka
"25,000",1.0,1.0,Nairobi,Ruaka
"25,000",2.0,2.0,Nairobi,Imara Daima
"25,000",2.0,2.0,Nairobi, Kikuyu Town
"25,000",2.0,1.0,Nairobi, Dagoretti Corner
"25,000",2.0,,Nairobi,Nyali Area
"25,000",1.0,,Nairobi,Ruaka
"100,000",3.0,3.0,Nairobi, Kileleshwa
"25,000",1.0,,Nairobi,Ruaka
"25,000",1.0,1.0,Nairobi, Ruaka
"25,000",2.0,1.0,Nairobi, Ruiru
"26,000",1.0,,Nairobi, Garden Estate
"27,000",1.0,1.0,Nairobi, Ngumo Estate
"28,000",2.0,2.0,Nairobi,Ruaka
"28,000",2.0,2.0,Nairobi,Syokimau
"28,000",1.0,1.0,Nairobi, Nyali Area
"28,000",2.0,2.0,Nairobi,Kikuyu Town
"28,000",2.0,2.0,Nairobi, Ruaka
"28,000",2.0,2.0,Nairobi, Mombasa Road
"28,000",2.0,2.0,Nairobi, Ziwa La Ngombe
"28,000",2.0,2.0,Nairobi, Nyali Area
"28,000",2.0,2.0,Nairobi,Syokimau
"200,000",5.0,5.0,Nairobi, Kilimani
"28,000",2.0,2.0,Nairobi, Ruaka
"30,000",1.0,1.0,Nairobi,Kisumu West
"30,000",2.0,1.0,Nairobi, Kiambu Road
"30,000",2.0,2.0,Nairobi, Thika East
"30,000",1.0,1.0,Nairobi, Karen
"30,000",0.0,,Nairobi,Kileleshwa
"30,000",2.0,2.0,Nairobi, Ruaka
"30,000",2.0,2.0,Nairobi, Ruaka
"30,000",1.0,1.0,Nairobi, Parklands
"30,000",3.0,3.0,Nairobi, Ziwa La Ngombe
"30,000",2.0,3.0,Nairobi, Mtwapa
"30,000",1.0,1.0,Nairobi, Ngong Road
"30,000",2.0,,Nairobi,New Kitusuru
"30,000",1.0,1.0,Nairobi, Ruaka
"30,000",3.0,2.0,Nairobi,Syokimau
"175,000",2.0,2.0,Nairobi,Thigiri
"145,000",3.0,5.0,Nairobi, Riverside
"30,000",2.0,2.0,Nairobi,Mombasa Road
"30,000",2.0,2.0,Nairobi, Imara Daima
"30,000",2.0,2.0,Nairobi, Kiambu Town
"32,000",2.0,2.0,Nairobi,Ruaka
"32,000",1.0,1.0,Nairobi, Ngong Road
"32,500",2.0,2.0,Nairobi, Ruaka
"33,000",3.0,2.0,Nairobi, Syokimau
"33,000",3.0,2.0,Nairobi, Ngong
"33,500",3.0,3.0,Nairobi, Eldoret North
"35,000",,,Nairobi,Ruaka
"35,000",2.0,3.0,Nairobi, Windsor
"35,000",,,Nairobi,Nairobi West
"35,000",1.0,,Nairobi,Kileleshwa
"35,000",1.0,1.0,Nairobi,Kiambu Road
"130,000",2.0,2.0,Nairobi, Kileleshwa
"35,000",1.0,1.0,Nairobi, Kiambu Road
"35,000",2.0,,Nairobi,Imara Daima
"35,000",3.0,2.0,Nairobi, Syokimau
"35,000",2.0,2.0,Nairobi,Imara Daima
"35,000",2.0,2.0,Nairobi,Lower Kabete
"35,000",2.0,2.0,Nairobi, Ruaka
"35,000",2.0,2.0,Nairobi,Kahawa Sukari
"35,000",2.0,1.0,Nairobi,Langata Area
"35,000",3.0,2.0,Nairobi, Nyali Area
"35,000",2.0,2.0,Nairobi,Imara Daima
"35,000",0.0,,Nairobi, Kilimani
"35,000",3.0,2.0,Nairobi, Syokimau
"35,000",3.0,2.0,Nairobi, Baraka/Nyayo
"35,000",3.0,3.0,Nairobi,Syokimau
"90,000",3.0,3.0,Nairobi, Lavington
"100,000",3.0,3.0,Nairobi, Kilimani
"35,000",2.0,1.0,Nairobi, Ruaka
"35,000",2.0,,Nairobi, Ngara
"35,000",2.0,2.0,Nairobi, Mkomani
"35,000",1.0,1.0,Nairobi,Westlands Area
"35,000",2.0,,Nairobi,Garden Estate
"35,000",3.0,2.0,Nairobi,Syokimau
"35,750",2.0,2.0,Nairobi, Ruiru
"37,000",2.0,2.0,Nairobi, Ruaka
"38,000",2.0,2.0,Nairobi, Ruaka
"38,000",2.0,2.0,Nairobi,Ruaka
"38,000",2.0,2.0,Nairobi, Mountain View
"38,000",3.0,2.0,Nairobi, Kinoo
"38,000",2.0,2.0,Nairobi, Ruaka
"38,000",3.0,2.0,Nairobi,Ruaka
"38,000",2.0,1.0,Nairobi, Riverside
"240,000",3.0,2.0,Nairobi, Upper Hill
"85,000",3.0,3.0,Nairobi, Kileleshwa
"38,000",1.0,1.0,Nairobi, Upper Hill
"38,000",2.0,2.0,Nairobi,Ruaka
"39,000",2.0,1.0,Nairobi, Ngumo Estate
"40,000",2.0,2.0,Nairobi, Ruaka
"40,000",3.0,2.0,Nairobi, Ongata Rongai
"40,000",3.0,3.0,Nairobi, Nyali Area
"40,000",3.0,3.0,Nairobi, Nyali Area
"40,000",1.0,1.0,Nairobi, Naivasha Road
"40,000",2.0,2.0,Nairobi, Ruaka
"40,000",2.0,2.0,Nairobi,Ngara
"40,000",3.0,1.0,Nairobi, Madaraka
"40,000",3.0,2.0,Nairobi, Nyali Area
"40,000",2.0,2.0,Nairobi,Naivasha Road
"40,000",2.0,2.0,Nairobi, Thindigua
"40,000",2.0,2.0,Nairobi, Thindigua
"40,000",1.0,1.0,Nairobi, Kilimani
"40,000",3.0,1.0,Nairobi,Parklands
"40,000",2.0,,Nairobi,Naivasha Road
"40,000",2.0,2.0,Nairobi,Kamiti
"40,000",2.0,,Nairobi,Thika Road
"40,000",2.0,1.0,Nairobi,Madaraka
"40,000",3.0,,Nairobi, Riruta
"40,000",2.0,2.0,Nairobi,Ruaka
"40,000",2.0,2.0,Nairobi, Ruaka
"40,000",2.0,2.0,Nairobi, Ruaka
"40,000",3.0,2.0,Nairobi, Ruaka
"40,000",3.0,2.0,Nairobi, Ruaka
"40,000",2.0,1.0,Nairobi,Makadara
"40,000",2.0,2.0,Nairobi, Naivasha Road
"40,000",2.0,2.0,Nairobi,Ruaka
"40,000",1.0,1.0,Nairobi, Lavington
"40,000",2.0,2.0,Nairobi, Karen
"40,000",3.0,2.0,Nairobi,Koma Rock
"40,000",2.0,2.0,Nairobi,Ruaka
"40,000",3.0,2.0,Nairobi, Syokimau
"42,000",3.0,2.0,Nairobi,Ruaka
"42,500",2.0,1.0,Nairobi, Dagoretti Corner
"43,000",2.0,2.0,Nairobi, Garden Estate
"43,000",2.0,3.0,Nairobi, Thika Road
"43,000",2.0,2.0,Nairobi, Ruaka
"43,500",2.0,2.0,Nairobi,Naivasha Road
"44,000",2.0,1.0,Nairobi, Ngara
"44,000",2.0,4.0,Nairobi,Mombasa Road
"45,000",1.0,1.0,Nairobi, Ngong Road
"45,000",2.0,2.0,Nairobi, Ruaka
"45,000",3.0,2.0,Nairobi,Naivasha Road
"45,000",2.0,2.0,Nairobi, Kahawa West
"45,000",2.0,2.0,Nairobi, Karen
"45,000",2.0,2.0,Nairobi,Kileleshwa
"45,000",3.0,,Nairobi,Ruaka
"45,000",2.0,,Nairobi,Ruaka
"45,000",3.0,2.0,Nairobi, Kitisuru
"45,000",2.0,,Nairobi,Nairobi West
"45,000",3.0,,Nairobi,Kasarani Area
"45,000",3.0,,Nairobi,Syokimau
"45,000",3.0,,Nairobi,Syokimau
"45,000",3.0,,Nairobi, Ngara
"45,000",2.0,2.0,Nairobi,Thindigua
"45,000",2.0,2.0,Nairobi,Ruaka
"45,000",3.0,2.0,Nairobi, Ziwa La Ngombe
"45,000",2.0,2.0,Nairobi,Langata Area
"45,000",2.0,2.0,Nairobi,Langata Area
"45,000",1.0,1.0,Nairobi, Lavington
"45,000",3.0,,Nairobi,Imara Daima
"45,000",3.0,4.0,Nairobi,Syokimau
"45,000",2.0,2.0,Nairobi,Kiambu Road
"45,000",4.0,4.0,Nairobi, Juja
"45,000",3.0,2.0,Nairobi, Ruaka
"45,000",2.0,2.0,Nairobi, Ruaka
"45,000",3.0,3.0,Nairobi, Nyali Area
"45,000",2.0,1.0,Nairobi,Ngong Road
"45,000",1.0,1.0,Nairobi, Kileleshwa
"45,000",2.0,,Nairobi,Langata Area
"45,000",1.0,1.0,Nairobi, Kilimani
"45,000",2.0,,Nairobi,Parklands
"45,000",3.0,,Nairobi,Karen
"45,000",2.0,2.0,Nairobi,Kiambu Road
"45,000",2.0,,Nairobi, Parklands
"45,000",3.0,2.0,Nairobi, Mountain View
"45,000",3.0,2.0,Nairobi, Mountain View
"46,500",2.0,2.0,Nairobi,Kiambu Road
"47,000",3.0,2.0,Nairobi,Ruaka
"48,000",2.0,,Nairobi, Nairobi West
"48,000",2.0,3.0,Nairobi,Ngong Road
"48,000",1.0,1.0,Nairobi,Kilimani
"48,000",2.0,1.0,Nairobi, Madaraka
"48,000",2.0,2.0,Nairobi, Karen
"48,000",3.0,2.0,Nairobi, South B
"50,000",3.0,2.0,Nairobi, Ruaka
"50,000",3.0,3.0,Nairobi, Nyali Area
"50,000",2.0,2.0,Nairobi,Waiyaki Way
"50,000",2.0,,Nairobi,Kileleshwa
"50,000",3.0,2.0,Nairobi, Kitisuru
"50,000",3.0,3.0,Nairobi, Kiambu Road
"50,000",3.0,1.0,Nairobi, Nairobi West
"50,000",3.0,2.0,Nairobi, Kamiti
"50,000",1.0,,Nairobi,Westlands Area
"50,000",2.0,2.0,Nairobi, Karen
"50,000",3.0,2.0,Nairobi, Ngong Road
"50,000",3.0,2.0,Nairobi,Ngong Road
"50,000",2.0,2.0,Nairobi, Kiambu Road
"50,000",2.0,2.0,Nairobi, Kiambu Road
"50,000",1.0,1.0,Nairobi, Kiambu Road
"50,000",3.0,,Nairobi,Imara Daima
"50,000",3.0,2.0,Nairobi,Nairobi West
"50,000",1.0,1.0,Nairobi,Rhapta Road
"50,000",3.0,3.0,Nairobi, Kiambu Road
"50,000",3.0,,Nairobi,Thindigua
"50,000",2.0,,Nairobi,Upper Hill
"50,000",3.0,2.0,Nairobi,Imara Daima
"50,000",2.0,1.0,Nairobi, Parklands
"50,000",1.0,1.0,Nairobi,Upper Hill
"50,000",3.0,3.0,Nairobi, Ngong
"50,000",3.0,3.0,Nairobi,Kiambu Road
"50,000",1.0,,Nairobi,Kilimani
"50,000",0.0,1.0,Nairobi,Waiyaki Way
"51,000",3.0,3.0,Nairobi,Ruaka
"52,000",2.0,2.0,Nairobi, Riara Road
"52,000",2.0,3.0,Nairobi, Kiambu Road
"52,000",2.0,2.0,Nairobi,Kiambu Road
"52,500",2.0,1.0,Nairobi, Kilimani
"54,000",3.0,3.0,Nairobi, Ruaka
"54,000",3.0,2.0,Nairobi,Ruaka
"55,000",2.0,2.0,Nairobi, Uthiru/Ruthimitu
"55,000",2.0,2.0,Nairobi,Kilimani
"55,000",1.0,1.0,Nairobi, Kileleshwa
"55,000",3.0,1.0,Nairobi, Waiyaki Way
"55,000",2.0,2.0,Nairobi,Kileleshwa
"55,000",1.0,2.0,Nairobi,Rhapta Road
"55,000",3.0,2.0,Nairobi,Kiambu Road
"55,000",3.0,3.0,Nairobi, Thindigua
"55,000",2.0,2.0,Nairobi,Kahawa West
"55,000",3.0,2.0,Nairobi, Naivasha Road
"55,000",2.0,2.0,Nairobi, Nyali Area
"55,000",2.0,2.0,Nairobi, Kiambu Road
"55,000",2.0,1.0,Nairobi, Ngong Road
"55,000",2.0,2.0,Nairobi,Lavington
"55,000",1.0,1.0,Nairobi, Kilimani
"55,000",3.0,2.0,Nairobi, Dagoretti Corner
"55,000",2.0,,Nairobi, Nyali Area
"55,000",3.0,3.0,Nairobi, Kiambu Road
"55,000",2.0,2.0,Nairobi,Loresho
"55,000",1.0,1.0,Nairobi,Kilimani
"55,000",3.0,2.0,Nairobi, Ruaka
"55,000",2.0,3.0,Nairobi,Loresho
"55,000",1.0,2.0,Nairobi,Kilimani
"55,000",2.0,2.0,Nairobi, Kilimani
"55,000",3.0,2.0,Nairobi,Lavington
"55,000",3.0,3.0,Nairobi,Kileleshwa
"55,000",1.0,1.0,Nairobi, Riverside
"55,000",2.0,2.0,Nairobi,Loresho
"55,000",3.0,2.0,Nairobi,Kahawa West
"55,000",3.0,2.0,Nairobi,Mombasa CBD
"55,000",1.0,2.0,Nairobi,Nyali Area
"55,000",3.0,,Nairobi,Kahawa West
"55,000",3.0,4.0,Nairobi,Kiambu Road
"55,000",3.0,,Nairobi,Kiambu Road
"55,000",2.0,2.0,Nairobi,Mountain View
"55,000",2.0,2.0,Nairobi,Kitisuru
"55,000",3.0,4.0,Nairobi, Nyali Area
"55,000",2.0,2.0,Nairobi,Kilimani
"55,000",2.0,2.0,Nairobi, New Kitusuru
"55,000",2.0,2.0,Nairobi, Karen
"55,000",2.0,2.0,Nairobi, Loresho
"55,000",3.0,3.0,Nairobi,Thindigua
"55,000",2.0,2.0,Nairobi,Lavington
"55,000",2.0,2.0,Nairobi, Kiambu Road
"55,000",1.0,1.0,Nairobi,Kilimani
"55,000",3.0,4.0,Nairobi,Kileleshwa
"55,000",3.0,3.0,Nairobi,Kileleshwa
"55,000",2.0,,Nairobi, State House
"55,000",2.0,,Nairobi,Kileleshwa
"55,000",2.0,2.0,Nairobi, Mkomani
"55,000",2.0,1.0,Nairobi,Upper Hill
"55,000",3.0,3.0,Nairobi, Kinoo
"56,000",3.0,2.0,Nairobi, Kiambu Road
"56,000",3.0,4.0,Nairobi,Thindigua
"57,750",4.0,2.0,Nairobi, Kahawa
"58,000",2.0,,Nairobi, Kileleshwa
"58,500",3.0,2.0,Nairobi, Parklands
"59,000",2.0,,Nairobi, Rhapta Road
"60,000",3.0,3.0,Nairobi,Loresho
"60,000",3.0,2.0,Nairobi,Naivasha Road
"60,000",1.0,1.0,Nairobi,Kilimani
"60,000",1.0,1.0,Nairobi, Kilimani
"60,000",3.0,2.0,Nairobi,Jamhuri
"60,000",2.0,2.0,Nairobi,Lavington
"60,000",2.0,1.0,Nairobi, Kilimani
"60,000",2.0,,Nairobi,Kileleshwa
"60,000",2.0,2.0,Nairobi,Riara Road
"60,000",2.0,,Nairobi, Lavington
"60,000",3.0,2.0,Nairobi, Kileleshwa
"60,000",2.0,2.0,Nairobi, Kileleshwa
"60,000",2.0,2.0,Nairobi, Kilimani
"60,000",2.0,2.0,Nairobi, Lavington
"60,000",1.0,1.0,Nairobi, Kileleshwa
"60,000",2.0,2.0,Nairobi, Loresho
"60,000",2.0,,Nairobi,Kilimani
"60,000",2.0,,Nairobi,Kileleshwa
"60,000",3.0,2.0,Nairobi,Loresho
"60,000",2.0,2.0,Nairobi,Westlands Area
"60,000",2.0,1.0,Nairobi,Kileleshwa
"60,000",3.0,2.0,Nairobi,Thindigua
"60,000",3.0,3.0,Nairobi, Ruaka
"60,000",2.0,2.0,Nairobi, Waiyaki Way
"60,000",3.0,2.0,Nairobi, Parklands
"60,000",3.0,2.0,Nairobi, Parklands
"60,000",2.0,2.0,Nairobi,Kileleshwa
"60,000",3.0,2.0,Nairobi,Lavington
"60,000",3.0,,Nairobi,Kileleshwa
"60,000",3.0,2.0,Nairobi,Rhapta Road
"60,000",2.0,2.0,Nairobi,Karen
"60,000",3.0,3.0,Nairobi,Waiyaki Way
"60,000",3.0,2.0,Nairobi,Kileleshwa
"60,000",4.0,4.0,Nairobi,Kiambu Road
"60,000",2.0,1.0,Nairobi,Karen
"60,000",2.0,2.0,Nairobi,Westlands Area
"60,000",3.0,,Nairobi,Ruaka
"60,000",3.0,2.0,Nairobi,Ngara
"60,000",1.0,1.0,Nairobi,Rhapta Road
"60,000",2.0,2.0,Nairobi,Ngong Road
"60,000",3.0,2.0,Nairobi, Ziwa La Ngombe
"60,000",2.0,2.0,Nairobi,Loresho
"60,000",2.0,2.0,Nairobi,Kileleshwa
"60,000",2.0,,Nairobi,Kileleshwa
"60,000",2.0,2.0,Nairobi,Kilimani
"60,000",2.0,,Nairobi,Kilimani
"60,000",3.0,2.0,Nairobi, Kiambu Road
"60,000",1.0,1.0,Nairobi, Westlands Area
"60,500",2.0,2.0,Nairobi, Loresho
"62,000",3.0,2.0,Nairobi,Ngong Road
"62,500",2.0,2.0,Nairobi, Westlands Area
"65,000",1.0,1.0,Nairobi,Kilimani
"65,000",1.0,1.0,Nairobi,Kilimani
"65,000",2.0,2.0,Nairobi, Kileleshwa
"65,000",2.0,1.0,Nairobi, Kilimani
"65,000",2.0,2.0,Nairobi, Lavington
"65,000",3.0,2.0,Nairobi, Nyali Area
"65,000",2.0,2.0,Nairobi, Kilimani
"65,000",3.0,2.0,Nairobi, Lavington
"65,000",2.0,2.0,Nairobi,Waiyaki Way
"65,000",3.0,3.0,Nairobi,Loresho
"65,000",2.0,,Nairobi,Kilimani
"65,000",2.0,2.0,Nairobi,Kileleshwa
"65,000",2.0,,Nairobi,Kilimani
"65,000",2.0,,Nairobi, Kilimani
"65,000",2.0,,Nairobi,Kilimani
"65,000",2.0,,Nairobi, Hurlingham
"65,000",1.0,,Nairobi,Kileleshwa
"65,000",3.0,2.0,Nairobi,Rhapta Road
"65,000",3.0,,Nairobi,Waiyaki Way
"65,000",2.0,1.0,Nairobi, Westlands Area
"65,000",3.0,,Nairobi, Langata Area
"65,000",1.0,1.0,Nairobi, Lavington
"65,000",1.0,1.0,Nairobi, Lavington
"65,000",2.0,2.0,Nairobi,Upper Hill
"65,000",2.0,2.0,Nairobi, Parklands
"65,000",2.0,2.0,Nairobi,Kileleshwa
"65,000",1.0,1.0,Nairobi,Kilimani
"65,000",3.0,2.0,Nairobi,Kileleshwa
"65,000",3.0,2.0,Nairobi, Riverside
"65,000",2.0,2.0,Nairobi, Kilimani
"65,000",3.0,2.0,Nairobi, Kileleshwa
"65,000",3.0,3.0,Nairobi,Waiyaki Way
"65,000",1.0,,Nairobi, Mombasa Road
"65,000",2.0,2.0,Nairobi, Lavington
"65,000",2.0,2.0,Nairobi, Westlands Area
"65,000",2.0,,Nairobi,Lavington
"65,000",2.0,3.0,Nairobi, Kilimani
"65,000",2.0,,Nairobi, Brookside
"65,000",3.0,,Nairobi,Nyali Area
"65,000",2.0,2.0,Nairobi,Kilimani
"65,000",2.0,2.0,Nairobi,Kilimani
"65,000",2.0,,Nairobi,Valley Arcade
"65,000",2.0,2.0,Nairobi,Kileleshwa
"65,000",2.0,2.0,Nairobi, Kilimani
"65,000",1.0,2.0,Nairobi, Kilimani
"65,000",2.0,2.0,Nairobi,Kileleshwa
"65,000",3.0,2.0,Nairobi,Kileleshwa
"65,000",2.0,2.0,Nairobi,Kileleshwa
"65,000",3.0,3.0,Nairobi, Lavington
"65,000",3.0,3.0,Nairobi, Westlands Area
"65,000",3.0,2.0,Nairobi,Ngong Road
"65,000",1.0,1.0,Nairobi, Kilimani
"65,000",2.0,2.0,Nairobi,Kileleshwa
"65,000",1.0,1.0,Nairobi, Lavington
"65,000",2.0,2.0,Nairobi, Kilimani
"65,000",3.0,2.0,Nairobi, Kilimani
"65,000",2.0,2.0,Nairobi, Kilimani
"65,000",2.0,2.0,Nairobi, Kilimani
"65,000",3.0,2.0,Nairobi,Rhapta Road
"65,000",2.0,2.0,Nairobi,Kileleshwa
"65,000",3.0,2.0,Nairobi, Mkomani
"65,000",2.0,,Nairobi, Westlands Area
"65,000",2.0,2.0,Nairobi, Lavington
"65,000",2.0,2.0,Nairobi, Valley Arcade
"65,000",2.0,2.0,Nairobi,Kileleshwa
"65,000",3.0,,Nairobi, State House
"65,000",3.0,,Nairobi,Thindigua
"65,000",2.0,,Nairobi,Kileleshwa
"65,000",2.0,2.0,Nairobi, Loresho
"65,000",2.0,,Nairobi,Kileleshwa
"65,000",0.0,1.0,Nairobi,Nairobi West
"65,000",2.0,,Nairobi,Kilimani
"65,000",3.0,2.0,Nairobi,Kileleshwa
"65,000",3.0,,Nairobi, Lavington
"66,000",3.0,1.0,Nairobi, Kiambu Road
"66,000",3.0,2.0,Nairobi, Ngong Road
"67,000",3.0,3.0,Nairobi,Westlands Area
"67,000",2.0,2.0,Nairobi,Kileleshwa
"67,500",2.0,2.0,Nairobi, Brookside
"67,500",3.0,2.0,Nairobi, Lavington
"68,000",3.0,2.0,Nairobi,Kileleshwa
"68,000",2.0,2.0,Nairobi, Lavington
"69,997",2.0,2.0,Nairobi, Parklands
